;total_ips_origem;total_ips_destino;total_pacotes;has_bot
418;3;3;5;1
419;3;2;9;0
420;3;3;13;1
421;2;2;10;1
422;3;3;5;1
423;0;0;0;0
424;5;5;41;0
425;7;7;413;0
426;7;6;351;0
427;9;9;544;0
428;6;5;32;1
429;0;0;0;0
430;2;2;2;0
431;6;6;39;1
432;3;3;20;0
433;1;1;2;0
434;1;1;1;0
435;2;2;4;1
436;3;3;7;1
437;5;5;33;0
438;3;4;7;0
439;1;3;8;0
440;5;6;9;1
441;1;1;1;0
442;3;3;3;0
443;1;1;1;0
444;2;2;3;0
445;5;5;20;0
446;2;2;2;0
447;6;5;38;0
448;1;1;1;0
449;2;2;4;0
450;1;1;1;0
451;1;1;2;0
452;2;2;2;0
453;0;0;0;0
454;2;2;2;0
455;2;2;6;0
456;3;2;8;0
457;0;0;0;0
458;3;3;5;1
459;0;0;0;0
460;3;3;4;0
461;0;0;0;0
462;2;2;2;0
463;0;0;0;0
464;3;3;5;1
465;0;0;0;0
466;3;2;8;0
467;2;2;4;1
468;6;6;47;1
469;0;0;0;0
470;2;2;2;0
471;2;2;4;1
472;2;2;2;0
473;1;1;1;0
474;3;3;7;1
475;2;1;7;0
476;2;2;3;0
477;4;4;38;1
478;3;3;5;0
479;0;0;0;0
480;1;1;1;0
481;4;4;14;1
482;3;3;5;0
483;3;3;7;0
484;5;8;25;0
485;5;9;27;0
486;8;8;28;0
487;2;2;2;0
488;3;3;4;0
489;4;3;21;1
490;3;3;17;1
491;3;3;21;1
492;4;4;8;1
493;2;2;3;0
494;5;4;16;1
495;0;0;0;0
496;3;3;7;1
497;0;0;0;0
498;3;3;13;1
499;3;3;5;0
500;2;2;2;0
501;3;3;5;1
502;2;2;2;0
503;1;1;4;0
504;4;4;14;0
505;2;2;8;1
506;1;1;1;0
507;0;0;0;0
508;3;3;5;1
509;5;5;10;0
510;1;1;1;0
511;2;2;6;1
512;1;1;1;0
513;2;1;7;0
514;5;5;9;1
515;2;2;2;0
516;1;1;1;0
517;0;0;0;0
518;1;1;1;0
519;2;2;4;0
520;1;1;1;0
521;0;0;0;0
522;3;3;6;0
523;1;1;3;0
524;1;1;1;0
525;0;0;0;0
526;3;3;17;1
527;3;3;17;1
528;4;4;6;0
529;2;2;4;0
530;3;3;5;1
531;2;2;4;1
532;3;3;6;0
533;1;1;3;0
534;3;3;7;1
535;3;3;8;0
536;3;3;7;0
537;1;1;1;0
538;1;1;1;0
539;2;2;4;1
540;3;4;7;0
541;4;4;70;0
542;8;10;46;1
543;3;4;16;0
544;7;7;27;0
545;2;2;4;1
546;1;1;1;0
547;4;4;38;0
548;1;1;1;0
549;5;5;64;1
550;7;7;83;1
551;15;13;689;1
552;19;19;841;1
553;5;2;30;0
554;6;6;52;1
555;3;3;34;0
556;3;3;19;0
557;6;4;58;0
558;2;2;3;0
559;0;0;0;0
560;3;4;17;0
561;6;7;25;0
562;11;11;82;0
563;0;0;0;0
564;1;1;1;0
565;2;1;6;0
566;1;1;1;0
567;0;0;0;0
568;3;3;5;1
569;2;2;4;1
570;2;2;5;0
571;6;6;31;1
572;10;10;51;1
573;2;2;14;1
574;2;2;5;0
575;2;2;10;1
576;1;1;1;0
577;1;1;2;0
578;4;4;13;1
579;2;2;6;1
580;4;4;15;1
581;5;5;11;1
582;7;7;18;0
583;0;0;0;0
584;1;1;1;0
585;1;1;1;0
586;2;2;5;0
587;0;0;0;0
588;3;3;9;1
589;1;1;4;0
590;2;2;4;0
591;2;2;4;0
592;7;7;18;0
593;0;0;0;0
594;1;1;1;0
595;4;4;16;0
596;4;4;31;0
597;4;4;30;0
598;5;5;25;0
599;2;2;4;0
600;2;2;4;0
601;2;2;4;0
602;10;10;47;1
603;0;0;0;0
604;1;1;1;0
605;2;2;4;1
606;3;3;9;0
607;0;0;0;0
608;2;2;5;0
609;7;7;37;1
610;8;8;67;0
611;3;3;28;0
612;9;9;22;1
613;0;0;0;0
614;1;1;1;0
615;2;2;4;1
616;3;3;11;1
617;2;2;5;0
618;4;4;8;1
619;0;0;0;0
620;1;1;1;0
621;2;2;4;0
622;7;7;18;0
623;0;0;0;0
624;2;2;3;0
625;2;2;4;1
626;1;1;1;0
627;2;2;6;0
628;2;2;4;0
629;0;0;0;0
630;3;3;5;0
631;2;2;4;0
632;6;6;17;0
633;1;1;2;0
634;2;2;5;0
635;3;3;5;0
636;2;2;5;0
637;2;2;4;0
638;2;2;4;0
639;0;0;0;0
640;3;3;7;0
641;2;2;4;0
642;9;9;22;1
643;0;0;0;0
644;1;1;1;0
645;5;5;186;0
646;1;1;1;0
647;0;0;0;0
648;7;7;46;0
649;7;7;76;1
650;1;1;1;0
651;4;4;12;0
652;9;9;22;1
653;2;2;32;1
654;3;3;17;1
655;3;3;12;1
656;1;1;1;0
657;3;3;9;1
658;3;3;5;0
659;5;5;14;1
660;3;3;13;0
661;4;4;26;1
662;10;10;27;1
663;0;0;0;0
664;1;1;1;0
665;3;3;10;0
666;4;4;10;0
667;10;10;82;0
668;9;9;49;0
669;7;6;30;0
670;1;1;1;0
671;2;2;4;0
672;4;4;18;0
673;0;0;0;0
674;1;1;1;0
675;3;2;8;0
676;1;1;1;0
677;0;0;0;0
678;1;1;1;0
679;4;6;12;1
680;3;2;5;0
681;2;2;6;1
682;2;2;2;0
683;0;0;0;0
684;3;3;6;0
685;1;1;3;0
686;3;3;5;1
687;0;0;0;0
688;3;3;5;1
689;4;4;8;1
690;4;4;9;0
691;0;0;0;0
692;3;3;11;1
693;0;0;0;0
694;13;12;182;0
695;8;9;151;0
696;13;12;511;0
697;11;11;612;0
698;1;1;1;0
699;4;4;8;1
700;6;6;15;0
701;0;0;0;0
702;4;4;10;0
703;1;1;4;0
704;4;4;12;0
705;0;0;0;0
706;3;3;5;0
707;8;8;46;1
708;7;7;69;0
709;4;4;14;0
710;2;2;3;0
711;2;2;4;0
712;3;3;6;0
713;1;1;3;0
714;1;1;1;0
715;0;0;0;0
716;5;5;11;0
717;6;6;28;1
718;5;5;13;0
719;1;1;4;0
720;1;1;1;0
721;5;5;38;0
722;10;10;83;1
723;6;6;21;1
724;1;1;1;0
725;2;2;4;1
726;5;5;9;1
727;2;2;4;0
728;5;5;13;0
729;2;2;4;1
730;6;6;35;0
731;4;4;58;0
732;6;6;26;1
733;1;1;3;0
734;2;2;2;0
735;0;0;0;0
736;4;4;7;1
737;3;2;6;0
738;4;4;9;0
739;2;2;4;0
740;1;1;1;0
741;2;2;5;0
742;3;3;5;0
743;0;0;0;0
744;1;1;1;0
745;0;0;0;0
746;1;1;1;0
747;7;7;32;1
748;1;1;1;0
749;4;4;12;0
750;2;2;5;0
751;0;0;0;0
752;2;2;4;0
753;4;4;14;1
754;6;6;21;0
755;5;5;28;1
756;8;7;41;1
757;5;5;16;1
758;1;1;1;0
759;5;5;14;0
760;4;4;15;1
761;1;1;3;0
762;4;4;8;1
763;3;3;16;1
764;1;1;1;0
765;2;2;10;1
766;3;3;7;1
767;4;4;10;1
768;5;5;17;1
769;4;4;12;0
770;1;1;1;0
771;1;1;3;0
772;4;4;6;1
773;0;0;0;0
774;1;1;1;0
775;0;0;0;0
776;3;3;7;1
777;3;3;8;0
778;4;5;11;0
779;3;4;10;0
780;3;3;5;0
781;2;2;5;0
782;2;2;2;0
783;2;2;6;1
784;1;1;1;0
785;1;1;2;0
786;1;1;1;0
787;3;3;8;0
788;4;4;9;0
789;4;4;16;0
790;7;7;16;1
791;0;0;0;0
792;4;4;21;0
793;1;1;2;0
794;1;1;1;0
795;0;0;0;0
796;1;1;1;0
797;5;5;12;1
798;5;5;11;0
799;3;3;7;1
800;6;6;13;1
801;1;1;2;0
802;2;2;2;0
803;2;2;8;1
804;1;1;1;0
805;0;0;0;0
806;3;3;9;0
807;3;4;10;0
808;4;4;11;1
809;5;5;11;1
810;4;5;11;0
811;3;3;12;0
812;5;5;19;0
813;4;4;10;0
814;7;7;23;0
815;0;0;0;0
816;3;3;11;0
817;4;4;26;0
818;4;4;9;1
819;4;4;9;1
820;3;3;5;0
821;2;2;4;0
822;2;2;2;0
823;2;2;4;1
824;6;6;23;1
825;4;4;12;1
826;2;2;3;0
827;5;5;16;1
828;5;6;16;0
829;1;3;7;0
830;8;9;19;1
831;1;1;1;0
832;3;3;3;0
833;1;1;1;0
834;4;4;6;1
835;0;0;0;0
836;4;4;6;1
837;4;3;17;1
838;1;1;1;0
839;0;0;0;0
840;3;3;5;1
841;0;0;0;0
842;2;2;2;0
843;1;1;2;0
844;2;2;2;0
845;0;0;0;0
846;4;4;9;1
847;1;1;3;0
848;1;1;1;0
849;0;0;0;0
850;3;3;13;0
851;0;0;0;0
852;2;2;3;0
853;1;1;1;0
854;3;3;5;1
855;1;1;4;0
856;1;1;1;0
857;1;1;3;0
858;1;1;1;0
859;0;0;0;0
860;2;2;2;0
861;0;0;0;0
862;2;2;2;0
863;0;0;0;0
864;1;1;1;0
865;7;7;40;1
866;4;4;13;1
867;3;6;25;0
868;5;5;17;0
869;0;0;0;0
870;6;6;15;1
871;3;3;5;1
872;3;3;3;0
873;3;4;6;1
874;4;6;12;1
875;3;3;9;0
876;4;4;10;0
877;4;4;8;1
878;1;1;1;0
879;1;1;1;0
880;1;1;1;0
881;1;1;1;0
882;3;3;3;0
883;2;2;4;1
884;2;2;5;0
885;1;1;1;0
886;2;2;4;0
887;0;0;0;0
888;1;1;1;0
889;1;1;1;0
890;1;1;1;0
891;0;0;0;0
892;2;2;2;0
893;1;1;1;0
894;2;2;5;0
895;0;0;0;0
896;2;2;4;0
897;0;0;0;0
898;1;1;1;0
899;0;0;0;0
900;1;1;1;0
901;1;1;1;0
902;3;3;5;1
903;2;2;5;0
904;2;2;5;0
905;2;2;4;0
906;1;1;1;0
907;0;0;0;0
908;1;1;1;0
909;6;6;20;1
910;4;4;6;1
911;2;2;4;1
912;2;2;2;0
913;1;1;4;0
914;3;3;5;0
915;3;3;11;1
916;3;3;25;1
917;4;5;20;1
918;5;4;28;1
919;3;5;12;1
920;4;4;7;0
921;3;3;19;1
922;6;6;13;1
923;1;1;1;0
924;1;1;1;0
925;1;1;3;0
926;2;2;2;0
927;0;0;0;0
928;3;3;4;0
929;0;0;0;0
930;1;1;1;0
931;0;0;0;0
932;2;2;5;0
933;0;0;0;0
934;4;4;6;0
935;5;5;13;0
936;1;1;1;0
937;3;3;15;0
938;2;2;3;0
939;5;5;79;1
940;5;5;398;0
941;1;1;4;0
942;4;4;30;0
943;1;1;3;0
944;1;1;1;0
945;2;2;4;1
946;3;3;5;1
947;5;5;56;1
948;3;3;25;0
949;2;2;18;0
950;3;3;3;0
951;3;3;8;1
952;3;2;3;0
953;1;1;3;0
954;6;6;228;0
955;12;13;906;0
956;7;7;87;0
957;3;2;10;0
958;6;6;39;1
959;0;0;0;0
960;5;5;35;0
961;1;1;2;0
962;7;7;19;0
963;3;3;7;1
964;7;9;76;0
965;11;12;261;0
966;11;11;328;0
967;9;9;188;0
968;3;3;18;0
969;3;2;10;0
970;6;6;47;0
971;1;1;1;0
972;4;4;21;0
973;1;1;1;0
974;1;1;1;0
975;6;7;28;1
976;3;3;5;0
977;0;0;0;0
978;1;1;1;0
979;2;2;5;0
980;3;3;7;0
981;2;2;5;0
982;2;2;2;0
983;2;2;4;1
984;3;3;5;1
985;4;4;12;1
986;2;2;2;0
987;0;0;0;0
988;5;5;21;1
989;1;1;4;0
990;2;2;2;0
991;1;1;3;0
992;1;1;1;0
993;0;0;0;0
994;1;1;1;0
995;5;5;11;1
996;2;2;3;0
997;0;0;0;0
998;4;4;9;0
999;3;3;10;0
1000;6;7;15;0
1001;1;1;4;0
1002;2;2;2;0
1003;4;4;7;0
1004;1;1;1;0
1005;4;4;20;0
1006;2;2;3;0
1007;1;1;1;0
1008;2;2;2;0
1009;4;4;24;1
1010;4;4;10;1
1011;1;1;2;0
1012;4;4;14;1
1013;11;11;68;0
1014;14;16;75;1
1015;5;5;38;1
1016;3;3;19;1
1017;2;2;14;1
1018;4;4;13;1
1019;2;2;22;1
1020;4;4;12;1
1021;4;5;14;1
1022;1;1;1;0
1023;2;2;6;1
1024;4;7;15;1
1025;4;6;26;0
1026;5;5;15;0
1027;1;1;4;0
1028;3;3;5;1
1029;6;6;17;1
1030;2;2;3;0
1031;2;2;4;1
1032;2;2;2;0
1033;0;0;0;0
1034;1;1;1;0
1035;0;0;0;0
1036;2;2;5;0
1037;2;2;6;1
1038;1;1;1;0
1039;1;1;3;0
1040;1;1;1;0
1041;0;0;0;0
1042;4;4;9;1
1043;0;0;0;0
1044;1;1;1;0
1045;0;0;0;0
1046;4;4;9;1
1047;0;0;0;0
1048;1;1;1;0
1049;3;3;7;1
1050;1;1;1;0
1051;0;0;0;0
1052;3;3;5;0
1053;1;1;2;0
1054;3;3;5;0
1055;1;1;4;0
1056;6;6;13;1
1057;4;4;8;1
1058;4;4;8;1
1059;0;0;0;0
1060;4;4;6;1
1061;3;3;8;0
1062;2;2;2;0
1063;1;1;2;0
1064;6;6;19;1
1065;2;2;6;1
1066;1;1;1;0
1067;3;3;9;1
1068;3;3;5;1
1069;0;0;0;0
1070;1;1;1;0
1071;0;0;0;0
1072;11;11;96;0
1073;3;3;20;0
1074;4;4;11;1
1075;4;4;18;1
1076;2;2;3;0
1077;1;1;3;0
1078;1;1;1;0
1079;5;5;52;1
1080;1;1;1;0
1081;0;0;0;0
1082;1;1;1;0
1083;4;4;24;0
1084;10;10;33;1
1085;2;2;6;1
1086;4;4;8;1
1087;0;0;0;0
1088;1;1;1;0
1089;3;3;49;0
1090;6;6;113;0
1091;11;11;594;0
1092;5;4;21;0
1093;3;3;8;1
1094;5;5;11;1
1095;2;2;4;1
1096;6;6;25;0
1097;0;0;0;0
1098;3;3;5;1
1099;0;0;0;0
1100;5;5;17;1
1101;8;8;75;1
1102;4;4;8;1
1103;2;2;6;0
1104;5;5;17;1
1105;3;3;6;1
1106;3;3;6;0
1107;2;2;4;1
1108;1;1;1;0
1109;2;2;6;1
1110;3;3;13;0
1111;7;7;35;0
1112;3;3;11;1
1113;1;1;4;0
1114;3;3;5;1
1115;3;3;7;0
1116;1;1;1;0
1117;0;0;0;0
1118;1;1;1;0
1119;0;0;0;0
1120;1;1;1;0
1121;6;6;37;0
1122;2;2;2;0
1123;3;3;8;1
1124;1;1;1;0
1125;9;9;97;0
1126;6;6;43;0
1127;0;0;0;0
1128;1;1;1;0
1129;0;0;0;0
1130;3;3;9;1
1131;6;6;20;1
1132;3;3;6;0
1133;0;0;0;0
1134;5;5;17;1
1135;1;1;3;0
1136;1;1;1;0
1137;5;5;62;0
1138;4;4;39;0
1139;2;2;18;0
1140;1;1;1;0
1141;7;7;36;1
1142;2;2;5;0
1143;1;1;4;0
1144;2;2;5;0
1145;1;1;3;0
1146;2;2;5;0
1147;0;0;0;0
1148;3;3;17;0
1149;4;4;24;0
1150;5;5;14;0
1151;8;8;39;1
1152;3;3;6;0
1153;0;0;0;0
1154;2;2;4;0
1155;2;2;6;1
1156;3;3;5;0
1157;0;0;0;0
1158;2;2;5;0
1159;0;0;0;0
1160;3;3;5;1
1161;5;5;20;0
1162;2;2;2;0
1163;2;3;32;0
1164;4;4;9;0
1165;0;0;0;0
1166;3;3;7;1
1167;2;2;4;1
1168;3;3;5;1
1169;2;2;4;1
1170;2;2;5;0
1171;6;6;20;1
1172;1;1;1;0
1173;0;0;0;0
1174;3;3;8;0
1175;0;0;0;0
1176;1;1;1;0
1177;0;0;0;0
1178;1;1;1;0
1179;3;3;8;1
1180;1;1;1;0
1181;4;4;16;0
1182;4;4;6;1
1183;2;2;12;1
1184;4;4;14;1
1185;10;10;149;0
1186;11;13;377;0
1187;16;15;753;1
1188;11;11;330;1
1189;8;6;108;0
1190;3;3;7;1
1191;7;7;24;0
1192;11;9;94;1
1193;6;6;35;0
1194;4;4;7;1
1195;4;6;20;0
1196;5;4;17;0
1197;7;7;32;1
1198;6;6;23;1
1199;6;5;22;0
1200;4;3;7;0
1201;7;7;25;1
1202;6;6;14;0
1203;3;3;14;1
1204;3;3;5;1
1205;2;2;12;1
1206;6;6;23;1
1207;9;9;58;0
1208;6;6;25;0
1209;3;3;6;1
1210;3;3;7;1
1211;5;21;75;0
1212;3;3;5;0
1213;10;10;66;1
1214;8;8;160;1
1215;14;14;1049;0
1216;9;9;63;1
1217;0;0;0;0
1218;2;2;5;0
1219;3;3;18;0
1220;3;3;15;0
1221;6;6;79;0
1222;7;7;35;1
1223;4;4;16;1
1224;5;5;9;1
1225;2;2;16;0
1226;1;1;1;0
1227;1;1;4;0
1228;1;1;1;0
1229;2;2;8;0
1230;1;1;1;0
1231;6;6;82;0
1232;2;2;4;0
1233;0;0;0;0
1234;3;3;5;1
1235;4;4;28;0
1236;7;7;47;0
1237;0;0;0;0
1238;3;3;19;1
1239;2;2;18;1
1240;3;3;5;1
1241;5;5;31;1
1242;4;4;6;1
1243;1;1;2;0
1244;3;3;11;1
1245;3;3;14;1
1246;4;4;25;0
1247;0;0;0;0
1248;1;1;1;0
1249;0;0;0;0
1250;2;2;4;0
1251;0;0;0;0
1252;4;4;6;1
1253;0;0;0;0
1254;1;1;1;0
1255;1;1;4;0
1256;4;4;6;0
1257;0;0;0;0
1258;1;1;1;0
1259;0;0;0;0
1260;2;2;4;0
1261;0;0;0;0
1262;1;1;1;0
1263;0;0;0;0
1264;4;4;9;1
1265;5;5;33;1
1266;5;5;13;1
1267;2;2;8;1
1268;6;6;15;1
1269;3;3;11;1
1270;3;3;5;1
1271;3;3;12;1
1272;4;4;10;0
1273;6;6;26;1
1274;9;9;55;0
1275;2;2;12;1
1276;7;7;42;1
1277;1;1;2;0
1278;3;3;9;1
1279;1;1;3;0
1280;3;3;5;1
1281;0;0;0;0
1282;4;4;6;1
1283;1;1;4;0
1284;1;1;1;0
1285;0;0;0;0
1286;3;3;5;0
1287;0;0;0;0
1288;1;1;1;0
1289;1;1;3;0
1290;3;3;5;1
1291;0;0;0;0
1292;1;1;1;0
1293;1;1;4;0
1294;4;4;17;0
1295;2;2;4;1
1296;3;3;5;0
1297;0;0;0;0
1298;2;2;4;0
1299;0;0;0;0
1300;3;3;7;1
1301;2;2;6;1
1302;2;2;2;0
1303;1;1;4;0
1304;1;1;1;0
1305;0;0;0;0
1306;3;3;5;0
1307;3;3;5;0
1308;4;5;7;1
1309;1;3;6;0
1310;3;4;7;0
1311;1;1;1;0
1312;4;4;7;0
1313;4;4;6;0
1314;1;1;1;0
1315;3;3;13;1
1316;7;7;39;1
1317;2;2;18;1
1318;3;3;5;1
1319;3;3;17;1
1320;3;3;13;1
1321;0;0;0;0
1322;4;4;9;1
1323;2;2;6;1
1324;5;5;11;0
1325;1;1;3;0
1326;3;3;5;0
1327;2;2;4;1
1328;1;1;1;0
1329;0;0;0;0
1330;1;1;1;0
1331;3;3;20;0
1332;7;7;24;0
1333;7;7;36;0
1334;2;2;4;0
1335;2;2;16;0
1336;4;4;23;0
1337;5;5;32;0
1338;7;7;172;0
1339;10;10;727;0
1340;2;2;2;0
1341;2;1;7;0
1342;6;6;12;0
1343;0;0;0;0
1344;2;2;4;0
1345;2;2;4;1
1346;3;3;5;0
1347;0;0;0;0
1348;3;4;7;0
1349;5;5;29;1
1350;3;3;7;0
1351;3;3;16;1
1352;7;8;23;1
1353;6;7;18;1
1354;5;6;22;1
1355;3;3;4;0
1356;7;7;24;1
1357;4;4;11;1
