;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition
39;[0, 40];;;;;;;;;;;;;;;;;;;;;;;;
40;[0, 41];;;;;;;;;;;;;;;;;;;;;;;;
41;[0, 42];;;;;;;;;;;;;;;;;;;;;;;;
42;[0, 43];;;;;;;;;;;;;;;;;;;;;;;;
43;[0, 44];;;;;;;;;;;;;;;;;;;;;;;;
44;[0, 45];;;;;;;;;;;;;;;;;;;;;;;;
45;[0, 46];;;;;;;;;;;;;;;;;;;;;;;;
46;[0, 47];;;;;;;;;;;;;;;;;;;;;;;;
47;[0, 48];;;;;;;;;;;;;;;;;;;;;;;;
48;[0, 49];;;;;;;;;;;;;;;;;;;;;;;;
49;[0, 50];;;;;;;;;;;;;;;;;;;;;;;;
50;[0, 51];;;;;;;;;;;;;;;;;;;;;;;;
51;[0, 52];;;;;;;;;;;;;;;;;;;;;;;;
52;[0, 53];;;;;;;;;;;;;;;;;;;;;;;;
53;[0, 54];;;;;;;;;;;;;;;;;;;;;;;;
54;[0, 55];;;;;;;;;;;;;;;;;;;;;;;;
55;[0, 56];;;;;;;;;;;;;;;;;;;;;;;;
56;[0, 57];;;;;;;;;;;;;;;;;;;;;;;;
57;[0, 58];;;;;;;;;;;;;;;;;;;;;;;;
58;[0, 59];;;;;;;;;;;;;;;;;;;;;;;;
59;[0, 60];;;;;;;;;;;;;;;;;;;;;;;;
60;[0, 61];;;;;;;;;;;;;;;;;;;;;;;;
61;[0, 62];;;;;;;;;;;;;;;;;;;;;;;;
62;[0, 63];;;;;;;;;;;;;;;;;;;;;;;;
63;[0, 64];;;;;;;;;;;;;;;;;;;;;;;;
64;[0, 65];;;;;;;;;;;;;;;;;;;;;;;;
65;[0, 66];;;;;;;;;;;;;;;;;;;;;;;;
66;[0, 67];;;;;;;;;;;;;;;;;;;;;;;;
67;[0, 68];;;;;;;;;;;;;;;;;;;;;;;;
68;[0, 69];;;;;;;;;;;;;;;;;;;;;;;;
69;[0, 70];;;;;;;;;;;;;;;;;;;;;;;;
70;[0, 71];;;;;;;;;;;;;;;;;;;;;;;;
71;[0, 72];;;;;;;;;;;;;;;;;;;;;;;;
72;[0, 73];;;;;;;;;;;;;;;;;;;;;;;;
73;[0, 74];;;;;;;;;;;;;;;;;;;;;;;;
74;[0, 75];;;;;;;;;;;;;;;;;;;;;;;;
75;[0, 76];;;;;;;;;;;;;;;;;;;;;;;;
76;[0, 77];;;;;;;;;;;;;;;;;;;;;;;;
77;[0, 78];;;;;;;;;;;;;;;;;;;;;;;;
78;[0, 79];;;;;;;;;;;;;;;;;;;;;;;;
79;[0, 80];;;;;;;;;;;;;;;;;;;;;;;;
80;[0, 81];;;;;;;;;;;;;;;;;;;;;;;;
81;[0, 82];;;;;;;;;;;;;;;;;;;;;;;;
82;[0, 83];;;;;;;;;;;;;;;;;;;;;;;;
83;[0, 84];;;;;;;;;;;;;;;;;;;;;;;;
84;[0, 85];;;;;;;;;;;;;;;;;;;;;;;;
85;[0, 86];;;;;;;;;;;;;;;;;;;;;;;;
86;[0, 87];;;;;;;;;;;;;;;;;;;;;;;;
87;[0, 88];;;;;;;;;;;;;;;;;;;;;;;;
88;[0, 89];;;;;;;;;;;;;;;;;;;;;;;;
89;[0, 90];;;;;;;;;;;;;;;;;;;;;;;;
90;[0, 91];;;;;;;;;;;;;;;;;;;;;;;;
91;[0, 92];;;;;;;;;;;;;;;;;;;;;;;;
92;[0, 93];;;;;;;;;;;;;;;;;;;;;;;;
93;[0, 94];;;;;;;;;;;;;;;;;;;;;;;;
94;[0, 95];;;;;;;;;;;;;;;;;;;;;;;;
95;[0, 96];;;;;;;;;;;;;;;;;;;;;;;;
96;[0, 97];;;;;;;;;;;;;;;;;;;;;;;;
97;[0, 98];;;;;;;;;;;;;;;;;;;;;;;;
98;[0, 99];;;;;;;;;;;;;;;;;;;;;;;;
99;[0, 100];;;;;;;;;;;;;;;;;;;;;;;;
100;[0, 101];0.948199020885854;0.05232337007878654;0.021954137369977266;0.9245387872348441;0.0722413274531343;0.07074712601160552;17.0;0.061224489795918366;0.9611560530038304;0.038309465689667914;0.016911963043429797;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9371817816183551;0.06242652599135083;0.08692317181955787;17.0;0.07142857142857142
101;[1, 102];0.948199020885854;0.05232337007878654;0.021954137369977266;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.061224489795918366;0.9611560530038304;0.038309465689667914;0.016911963043429797;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9371817816183551;0.06242652599135083;0.08692317181955787;17.0;0.07142857142857142
102;[2, 103];0.950428060609807;0.05056064930026708;0.01989239546197348;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.061224489795918366;0.9631501296683791;0.036659999888576225;0.015169718195336615;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142
103;[3, 104];0.950428060609807;0.05056064930026708;0.023424813731501615;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9658728896110438;0.0343126476075848;0.015591859693327407;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.946985122645927;0.050597414002030106;0.04942061642305655;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142
104;[4, 105];0.950428060609807;0.05056064930026708;0.01989239546197348;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9658728896110438;0.0343126476075848;0.012739724877848456;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.9481774961674376;0.04924175125735316;0.046485328046083824;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142
105;[5, 106];0.9493675692889277;0.051515491610129;0.02038876024251876;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9648123982901644;0.03530268341514629;0.01322380473824413;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.9516688321482051;0.045911800309423156;0.04246455478546236;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
106;[6, 107];0.9475907029349285;0.05311683513355018;0.017803488935186133;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9630355319361652;0.03696310095874199;0.011322899164699682;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.061224489795918366;0.9500849551670818;0.04713270408553339;0.04264120296946311;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
107;[7, 108];0.9486427701892975;0.05231816420743213;0.016152158529241845;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9638424140355489;0.0363175752980528;0.009877649493768244;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.07142857142857142;0.9500849551670818;0.04713270408553339;0.04264120296946311;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
108;[8, 109];0.9448479457831678;0.055544937764741925;0.015235919942238291;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9602825526888237;0.03949415200374544;0.009457429819490874;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9445163379914527;0.052196976827041774;0.046095806793697264;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
109;[9, 110];0.9527971647047173;0.04713371142525861;0.01202575636410526;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9662233386560922;0.03335009212645287;0.00742711931029321;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9463257743872765;0.050837246436682;0.045622940162891853;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
110;[10, 111];0.9519902826053335;0.04776197256013518;0.013487135856084676;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9656727940096075;0.033799421158314344;0.00866892693992511;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9413218486780348;0.0552371001285247;0.05052251648487402;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366
111;[11, 112];0.9501808462095098;0.04913686407998798;0.015369016262226724;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9614076342592301;0.03766346882849667;0.009222146896540651;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.055170431867743425;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366
112;[12, 113];0.9461506495185369;0.052699285536961224;0.0153806618502252;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9552105108390624;0.04394345034772788;0.01108435542852217;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.07142857142857142;0.9386678505420546;0.05743848951552935;0.0505480128208608;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366
113;[13, 114];0.9423474670836806;0.05578605187168993;0.017706336483258926;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9516242080892394;0.046951353035368314;0.013080900116647079;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.07142857142857142;0.938103159075667;0.05805549526173282;0.05039080349884292;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366
114;[14, 115];0.9438109787376129;0.054460981539457096;0.01773591677985416;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9534010744432386;0.045330848524085594;0.012966235834664216;0.9607329284860074;0.03998276446058072;0.04646060281114378;18.0;0.07142857142857142;0.9392955325971777;0.056723211110664994;0.05099050579520472;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366
115;[15, 116];0.9461506495185369;0.052699285536961224;0.0153806618502252;0.988762155916294;0.011020915954694455;0.003367350481121461;17.0;0.07142857142857142;0.9552105108390624;0.04394345034772788;0.01108435542852217;0.9908376325554372;0.00919559653943412;0.003156891076051365;18.0;0.07142857142857142;0.9392955325971777;0.056723211110664994;0.05114972297920818;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366
116;[16, 117];0.9454732473593982;0.053164788040647205;0.01572373970347469;0.988762155916294;0.011020915954694455;0.003367350481121461;17.0;0.07142857142857142;0.9545048032099718;0.04445336458889095;0.011341423583203156;0.9789848253208955;0.020031194717033057;0.011714322282044436;18.0;0.07142857142857142;0.9328823536813919;0.06251427941901262;0.05715334729848001;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.061224489795918366
117;[17, 118];0.9534010744432386;0.045330848524085594;0.012966235834664216;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9614076342592301;0.03766346882849667;0.009222146896540651;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.05678065901878485;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.061224489795918366
118;[18, 119];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9607329284860076;0.03998276446058026;0.03283178158198984;18.0;0.07142857142857142;0.9366381391757569;0.05982016545435711;0.05607666830615794;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.07142857142857142
119;[19, 120];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.07142857142857142;0.9364212594907235;0.059961970857377075;0.056658806966551165;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.07142857142857142
120;[20, 121];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9607329284860076;0.03998276446058026;0.03283178158198984;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.05678065901878485;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.061224489795918366
121;[21, 122];0.9488734094612016;0.05044308957947521;0.013830375976093915;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9576880856267417;0.04182085666638254;0.009770983763002861;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9392955325971777;0.056723211110664994;0.05114972297920818;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.0510204081632653
122;[22, 123];0.9400016032255281;0.05942114994567423;0.017162768075047175;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9499771382279345;0.04957621385443582;0.012345400353720158;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9369558618162538;0.05846019081320357;0.05162170838254686;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653
123;[23, 124];0.9479508221470776;0.05109027262148307;0.014619232254115919;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9567260405447519;0.042529995209635206;0.010493030531870574;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9392955325971777;0.056723211110664994;0.05099050579520472;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653
124;[24, 125];0.9488734094612016;0.05044308957947521;0.013830375976093915;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.061224489795918366;0.9576880856267417;0.04182085666638254;0.009770983763002861;0.9245387872348442;0.07224132745313522;0.06502803016981186;17.0;0.061224489795918366;0.9335100357365151;0.061807296679243916;0.056516802044468205;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653
125;[25, 126];0.9474995634402554;0.05165969504686371;0.013553335477565515;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.061224489795918366;0.9560173929384461;0.04330956697848167;0.009622975936542754;0.9245387872348442;0.07224132745313522;0.06502803016981186;17.0;0.061224489795918366;0.9328823536813919;0.06251427941901262;0.05550085487360151;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653
126;[26, 127];0.9440082274594881;0.05495234216989821;0.012322911850523702;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9522440653387376;0.04689168255746469;0.008953071916963843;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9303338395432204;0.06435398339578588;0.05591619058115538;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
127;[27, 128];0.9483064455396392;0.0510380969588797;0.012084133195993775;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9562859459659897;0.04309863718513806;0.00851693755127651;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9326735103241441;0.06264613975494358;0.05558570129128772;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
128;[28, 129];0.9514897279564091;0.048446659392537554;0.010626952707059755;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9592436689680588;0.04061649124846272;0.007390657003602062;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9386678505420546;0.05743848951552935;0.0505480128208608;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
129;[29, 130];0.9483064455396392;0.0510380969588797;0.012084133195993775;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9562859459659897;0.04309863718513806;0.00851693755127651;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.936119336403883;0.0593055297076028;0.05105690047037928;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
130;[30, 131];0.9474995634402554;0.05165969504686371;0.013553335477565515;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9560173929384461;0.04330956697848167;0.009622975936542754;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.936119336403883;0.0593055297076028;0.05105690047037928;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
131;[31, 132];0.9490121531687297;0.05053681984613457;0.011940324372579065;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9570224316332787;0.04254988429897688;0.008456952374111256;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9415489851554057;0.05467596476887438;0.0458620026779345;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
132;[32, 133];0.9483064455396392;0.0510380969588797;0.012084133195993775;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9562859459659897;0.04309863718513806;0.00851693755127651;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9355546449374954;0.05991954506333387;0.050751034283274224;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.0510204081632653
133;[33, 134];0.9560173929384461;0.04330956697848167;0.009622975936542754;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9629632176005474;0.03644718040014115;0.006698767612047889;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.07142857142857142;0.938103159075667;0.05805549526173282;0.05039080349884292;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
134;[34, 135];0.9531367978177138;0.0458153978284658;0.01146788901166063;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9603389599327141;0.038795811964661614;0.008294730355234514;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.07142857142857142;0.9316899801598812;0.0638290664529572;0.05625629902713984;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
135;[35, 136];0.9516242080892394;0.046951353035368314;0.013080900116647079;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9593339212378815;0.03956236820932032;0.009460753917666013;0.9440074771920581;0.05302369343549271;0.04477152501692065;17.0;0.07142857142857142;0.9262603314083584;0.06834987475891342;0.06135764487762001;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
136;[36, 137];0.9502065851298207;0.048425983492417383;0.011886186175412277;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9579162982784629;0.041061011824405386;0.008695769443457783;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9211669367549238;0.07336683110189174;0.06624777247137073;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
137;[37, 138];0.9545048032099718;0.04445336458889095;0.011341423583203156;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9619581789057148;0.03721850652398417;0.007974832172756977;0.8924271028941193;0.09962471750424233;0.09999999999999998;17.0;0.07142857142857142;0.9228964061684316;0.07217899186968768;0.06613782728536702;0.8314454838586239;0.16576716623440765;0.19361740408727574;17.0;0.061224489795918366
138;[38, 139];0.9576880856267417;0.04182085666638254;0.009770983763002861;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9235240882235548;0.07148705012186686;0.06643984815128298;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.061224489795918366
139;[39, 140];0.9582386302732264;0.041380171984745084;0.00866672156431115;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.964915901907784;0.0347020292427049;0.006735857894332031;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.929518428441465;0.06639545743380149;0.060672410461516335;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.061224489795918366
140;[40, 141];0.9582386302732264;0.041380171984745084;0.00866672156431115;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9582386302732264;0.041380171984745084;0.00866672156431115;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9275801156707095;0.06773437375428026;0.06079241691122714;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
141;[41, 142];0.9560173929384461;0.04330956697848167;0.009622975936542754;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9560173929384461;0.04330956697848167;0.009622975936542754;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9255537995898524;0.06916794157048552;0.060814767049979374;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
142;[42, 143];0.9560173929384461;0.04330956697848167;0.009622975936542754;0.988762155916294;0.011020915954694937;0.010102051443364384;17.0;0.07142857142857142;0.9560173929384461;0.04330956697848167;0.009622975936542754;0.988762155916294;0.011020915954694937;0.010102051443364384;17.0;0.07142857142857142;0.92514357479931;0.0694183344768441;0.061134025901895844;0.8314454838586239;0.16576716623440765;0.1610731094699242;17.0;0.0510204081632653
143;[43, 144];0.9560173929384461;0.04330956697848167;0.009622975936542754;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.07142857142857142;0.9560173929384461;0.04330956697848167;0.009622975936542754;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.07142857142857142;0.9172157477154695;0.076788948243243;0.06726510235277232;0.8534897229796914;0.15416855380450745;0.13572655899081634;17.0;0.0510204081632653
144;[44, 145];0.9490121531687297;0.05053681984613457;0.011940324372579065;0.9890498244170132;0.010496626898348555;0.014431502061949118;16.0;0.07142857142857142;0.9490121531687297;0.05053681984613457;0.011940324372579065;0.9890498244170132;0.010496626898348555;0.014431502061949118;16.0;0.07142857142857142;0.9200968823288208;0.0741582877768316;0.06182687178192217;0.8314454838586239;0.16576716623440682;0.1252136473053132;17.0;0.0510204081632653
145;[45, 146];0.9483064455396392;0.0510380969588797;0.012084133195993775;0.9681905137485697;0.032396303060323324;0.02635497906176903;16.0;0.07142857142857142;0.9483064455396392;0.0510380969588797;0.012084133195993775;0.9681905137485697;0.032396303060323324;0.02635497906176903;16.0;0.07142857142857142;0.9194922230960093;0.07451687159037336;0.06222813212512326;0.8534897229796914;0.15416855380450745;0.13572655899081634;17.0;0.0510204081632653
146;[46, 147];0.9499771382279345;0.04957621385443582;0.012345400353720158;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.061224489795918366;0.9499771382279345;0.04957621385443582;0.012345400353720158;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.061224489795918366;0.9142714177017344;0.07878025159793584;0.06750062169660914;0.8576611402529865;0.1510811565075869;0.1314104258682581;16.0;0.04081632653061224
147;[47, 148];0.952658420997189;0.0470401616467276;0.013965449466575859;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.061224489795918366;0.952658420997189;0.0470401616467276;0.013965449466575859;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.061224489795918366;0.916413747924912;0.07634029341918751;0.06740809108464868;0.8576611402529865;0.1510811565075869;0.1314104258682581;16.0;0.04081632653061224
148;[48, 149];0.955878649230918;0.043216302282675714;0.011758300710818861;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.955878649230918;0.043216302282675714;0.011758300710818861;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9108255916219955;0.08195887843213456;0.07352114132774655;0.8785204509214299;0.13468333864757576;0.1255701083809198;16.0;0.04081632653061224
