;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition
39;[0, 40];;;;;;;;;;;;;;;;;;;;;;;;
40;[0, 41];;;;;;;;;;;;;;;;;;;;;;;;
41;[0, 42];;;;;;;;;;;;;;;;;;;;;;;;
42;[0, 43];;;;;;;;;;;;;;;;;;;;;;;;
43;[0, 44];;;;;;;;;;;;;;;;;;;;;;;;
44;[0, 45];;;;;;;;;;;;;;;;;;;;;;;;
45;[0, 46];;;;;;;;;;;;;;;;;;;;;;;;
46;[0, 47];;;;;;;;;;;;;;;;;;;;;;;;
47;[0, 48];0.985766789614124;0.014156591822020587;0.01689135097282348;0.9337851376692218;0.06368767510851153;0.02891914940907228;16.0;0.1111111111111111;0.9941482710648063;0.005773492445899072;0.005298132390859857;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.06666666666666667;0.8830107380442725;0.09826834711189776;0.0825890155308145;0.7435400483818875;0.23422074162085108;0.15113376874032336;15.0;0.42222222222222217
48;[1, 49];0.9791245150896442;0.020675041887168503;0.023674720563763747;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9903774568335717;0.00976725328441819;0.008710100266996432;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.06666666666666667;0.8775021051768724;0.10373179073031247;0.07994094447294404;0.7099668737167834;0.24852003154992391;0.2162760032143158;16.0;0.42222222222222217
49;[2, 50];0.9688239167388724;0.030849693258269424;0.03240041222242741;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9888568774850478;0.011207468523059674;0.011799572494033567;0.956650471575569;0.04270672693661887;0.04148713512942085;17.0;0.08888888888888889;0.8589086582459223;0.12000655519507454;0.1025004339504168;0.8030558648795092;0.1804977165081208;0.20483961835806372;15.0;0.42222222222222217
50;[3, 51];0.9554576951041145;0.04449039630571322;0.046388087530058485;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9888568774850478;0.011207468523059674;0.011799572494033567;0.9151375424972876;0.0781069856660928;0.053280782233237026;17.0;0.08888888888888889;0.8393029678567002;0.13597274457096734;0.10932034561852418;0.8223773393621181;0.17115365265002777;0.2143163974770409;14.0;0.4444444444444444
51;[4, 52];0.9539371157555906;0.04582341447202047;0.05258296985393576;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9842462102656001;0.0155831811106515;0.01942404235221165;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.832954482001087;0.1433139818390991;0.13789866777662851;0.7060107101418428;0.24678746548639668;0.18024291988790236;14.0;0.4444444444444444
52;[5, 53];0.9539371157555906;0.04582341447202047;0.05258296985393576;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9796355430461523;0.01991740836591886;0.02620492960666513;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.8281961386298764;0.14510700544366614;0.1429034772476696;0.7579018714896945;0.23054097407675364;0.1464984597777398;14.0;0.42222222222222217
53;[6, 54];0.9617947045229482;0.03870144566592792;0.04236485026329803;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9796355430461523;0.01991740836591886;0.026957833621864987;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.8217866861467512;0.1475143555023526;0.1482949111203588;0.7177622660637883;0.24528008890503622;0.25299153207185376;14.0;0.4444444444444444
54;[7, 55];0.9673033373903484;0.032224767363485174;0.04076652944214048;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9776039357411203;0.02208158505364083;0.029256657505112034;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.08888888888888889;0.8353235108461907;0.13329426348538284;0.11388772677260851;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.4444444444444444
55;[8, 56];0.9673033373903484;0.032224767363485174;0.04076652944214048;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.06666666666666667;0.9750377405535212;0.024237960835921404;0.03108476564700214;0.9050700972776302;0.07881904030269897;0.0471647506744037;17.0;0.08888888888888889;0.8417329633293161;0.13070100428781786;0.10951595172402533;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.42222222222222217
56;[9, 57];0.9570027390395764;0.04214696950220956;0.05481048952157623;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.06666666666666667;0.9673033373903484;0.03222476736348541;0.04450060591264532;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8619742815299081;0.11699086426840695;0.10407200033584528;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.42222222222222217
57;[10, 58];0.9647371422027494;0.034330223710291076;0.04060255328079943;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9750377405535212;0.024237960835921404;0.03108476564700214;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8472415961967161;0.1256894224831287;0.11497948314935698;0.819157902907301;0.16695633133423196;0.07695906478821046;14.0;0.42222222222222217
58;[11, 59];0.9750377405535212;0.024237960835921404;0.03108476564700214;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8658350431276662;0.10982607397675402;0.08908107624991855;0.8625169447880242;0.14712370492236546;0.17807657494132412;14.0;0.42222222222222217
59;[12, 60];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6950938868476295;0.24530903505634497;0.32866103256532453;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.1111111111111111;0.8513643117565567;0.12128763737136575;0.09571765860503241;0.7948220404607839;0.18173766648056056;0.1735326226790129;14.0;0.42222222222222217
60;[13, 61];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6950938868476295;0.24530903505634497;0.32866103256532453;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.8785204509214299;0.09829273765383936;0.0627888668121332;16.0;0.1111111111111111;0.8685400066731629;0.11022328099937197;0.09318726175246478;0.7948220404607839;0.18173766648056056;0.1735326226790129;14.0;0.4
61;[14, 62];0.981680015078001;0.01777197596008632;0.023585286556258852;0.6756251968904156;0.25328103311008354;0.3593431382531769;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.8825982981953415;0.10121389830523096;0.08444962647140129;0.7060107101418428;0.24678746548639632;0.3973290993692602;14.0;0.37777777777777777
62;[15, 63];0.985766789614124;0.014156591822020587;0.01689135097282348;0.6756251968904156;0.25328103311008354;0.3593431382531769;17.0;0.08888888888888889;0.975466191263352;0.02447207101546795;0.029092952744017398;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.9014511139711471;0.08650469232399219;0.07266123062418627;0.7060107101418428;0.24678746548639632;0.3973290993692602;14.0;0.3555555555555555
63;[16, 64];0.981680015078001;0.01777197596008632;0.023585286556258852;0.7593172555290794;0.1980767680018762;0.20814652542443546;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.8893069993710631;0.09813669581749122;0.09284502909731823;16.0;0.1111111111111111;0.9195451328057106;0.07147763227441059;0.052728272560458304;0.6869960193810197;0.2500008708170431;0.40522686095624016;15.0;0.3555555555555555
64;[17, 65];0.975466191263352;0.02447207101546795;0.029092952744017398;0.6756251968904156;0.25328103311008354;0.42025650515289115;17.0;0.08888888888888889;0.9609954598922424;0.03911840743557825;0.04612234231208108;0.9101663100395065;0.07964323437575208;0.05912533319524106;16.0;0.1111111111111111;0.9140364999383105;0.07737891707129504;0.07099815293500139;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3555555555555555
65;[18, 66];0.981680015078001;0.01777197596008632;0.01929416492544158;0.7593172555290794;0.1980767680018762;0.20814652542443546;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.9104132124748566;0.079449748804003;0.07406866753992461;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3333333333333333
66;[19, 67];0.985766789614124;0.014156591822020587;0.01689135097282348;0.7787859454862934;0.1860462774421467;0.14417256670006054;17.0;0.08888888888888889;0.9739456119148281;0.02586719124284229;0.03616833206039447;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.1111111111111111;0.916239193937182;0.0748810061858234;0.07113203716454157;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3111111111111111
67;[20, 68];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6014051502998049;0.2560814367838198;0.3367006838144548;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.1111111111111111;0.916239193937182;0.0748810061858234;0.07113203716454157;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886
68;[21, 69];0.9895376038453586;0.010198490045190713;0.013640126305901844;0.5303560860446522;0.2801874762127893;0.5;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.13333333333333333;0.916239193937182;0.0748810061858234;0.07113203716454157;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886
69;[22, 70];0.9941482710648063;0.005773492445899315;0.007945758726946315;0.6014051502998049;0.25608143678382006;0.4424197796562485;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.6014051502998049;0.2560814367838198;0.3367006838144548;17.0;0.13333333333333333;0.9208498611566297;0.07111506120259552;0.0754122151590547;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886
70;[23, 71];0.9941482710648063;0.005773492445899315;0.005759565049182192;0.7432160025735691;0.20124359370427453;0.2136103845556526;16.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.030342551297899083;0.5303560860446522;0.2801874762127893;0.5;17.0;0.13333333333333333;0.9208498611566297;0.07111506120259552;0.06752374032098624;0.6893473553483181;0.252494764279711;0.3785017940672937;17.0;0.28888888888888886
71;[24, 72];0.9875059965403264;0.012405372984442633;0.013195702696840958;0.8340423126232713;0.16301782493737926;0.15653271213497486;16.0;0.08888888888888889;0.9592285093353491;0.04077662147038318;0.047492977405987576;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9296644328925585;0.0650551098172626;0.0690949987908004;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.26666666666666666
72;[25, 73];0.9895376038453584;0.010198490045190712;0.009917983326985194;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.08888888888888889;0.9540372250628743;0.04498184886267244;0.054835410746866986;0.6918670800096115;0.2508223135093226;0.41456054123524055;16.0;0.13333333333333333;0.9376695484276968;0.0593236615052774;0.06688240503453163;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.24444444444444446
73;[26, 74];0.9895376038453584;0.010198490045190712;0.009917983326985194;0.8661327173632023;0.11348422351612474;0.10576057613860451;17.0;0.08888888888888889;0.9406350624043989;0.060216669799358406;0.07990949353213997;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9419358338223669;0.056387818404016084;0.06282200692277762;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222
74;[27, 75];0.9869714086577595;0.012413483334262196;0.010515280285495383;0.8661327173632023;0.11348422351612474;0.10576057613860451;17.0;0.08888888888888889;0.9316729639006895;0.06774273191975523;0.09144755779476627;0.8441150748420817;0.1587359356990499;0.1908710771218552;16.0;0.13333333333333333;0.9440525870169908;0.05493210855074756;0.0594815658576639;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222
75;[28, 76];0.9887106155839619;0.010656995656582655;0.006815600190967088;0.9761191615327829;0.02213151372672462;0.014805542164708783;17.0;0.08888888888888889;0.9237302292437402;0.07383224441002943;0.10388692759851609;0.8097096987627334;0.18039783327647607;0.21428571428571433;16.0;0.13333333333333333;0.9440525870169908;0.05493210855074756;0.05682561364198685;0.8019093486817525;0.17888781461463435;0.15288384651619735;17.0;0.24444444444444444
76;[29, 77];0.9904498225101643;0.008894251466710353;0.004892078534953867;0.9761191615327829;0.02213151372672462;0.014805542164708783;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.9337851376692216;0.0636876751085113;0.05846138926056747;16.0;0.13333333333333333;0.9425320076684669;0.05623066905511356;0.06354067199380539;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.24444444444444444
77;[30, 78];0.9887106155839618;0.010656995656582654;0.007234280660361431;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.7099668737167834;0.24852003154992353;0.39484743178574433;16.0;0.13333333333333333;0.9539371157555906;0.045823414472020006;0.05047619729022552;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222
78;[31, 79];0.9887106155839618;0.010656995656582654;0.007234280660361431;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.7099668737167834;0.24852003154992353;0.39484743178574433;16.0;0.13333333333333333;0.9539371157555906;0.045823414472020006;0.05047619729022552;0.7824406587245385;0.1917342066377745;0.2057605761386045;17.0;0.2222222222222222
79;[32, 80];0.9869714086577595;0.012413483334262437;0.007691697633016377;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.7099668737167834;0.24852003154992353;0.39484743178574433;16.0;0.13333333333333333;0.9502664108316397;0.048657081404077436;0.04592477439421092;0.8145523430652634;0.17231900802393277;0.19463199760543926;17.0;0.24444444444444444
80;[33, 81];0.9869714086577593;0.012413483334262194;0.006549578760573961;0.9245387872348442;0.07224132745313522;0.06502803016981186;17.0;0.08888888888888889;0.9316729639006893;0.06774273191975567;0.09489885025587766;0.8893069993710631;0.09813669581749122;0.09284502909731823;16.0;0.13333333333333333;0.9528326060192387;0.046624568808081725;0.04949671191436965;0.8145523430652634;0.17231900802393277;0.17912046347070326;17.0;0.2222222222222222
81;[34, 82];0.9895376038453584;0.010198490045190712;0.006903787707827773;0.9371817816183551;0.062426525991350144;0.05119661282874151;17.0;0.08888888888888889;0.9368642481731643;0.06377395447148165;0.08567615774548404;0.9101663100395065;0.07964323437575184;0.08344127926964712;16.0;0.13333333333333333;0.9594748805437185;0.040468483123359884;0.040417000776669126;0.7182172900430885;0.20899130617146996;0.1993354883267836;17.0;0.2
82;[35, 83];0.9941482710648061;0.005773492445899314;0.004395520118612012;0.956650471575569;0.0427067269366191;0.041445654832610014;17.0;0.08888888888888889;0.9394304433607633;0.061815165400526055;0.0876759513442222;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9581239995989972;0.0415886233563802;0.04567124820414079;0.551499373247862;0.2536408141614008;0.439052429175127;17.0;0.17777777777777776
83;[36, 84];0.9888568774850476;0.01120746852305967;0.009531790243635723;0.9488801212514659;0.05009849909615667;0.03598867265804121;18.0;0.08888888888888889;0.9405349530971153;0.06104465702224687;0.08829803508294334;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9581239995989972;0.0415886233563802;0.04567124820414079;0.6345252314044247;0.25698807786995775;0.35620971670050794;17.0;0.17777777777777776
84;[37, 85];0.9888568774850476;0.01120746852305967;0.009531790243635723;0.9488801212514659;0.05009849909615667;0.03598867265804121;18.0;0.08888888888888889;0.9368642481731643;0.0637739544714812;0.08650946059466008;0.8023964535051947;0.1763951939236088;0.13858173372407817;16.0;0.15555555555555556;0.9581239995989972;0.04158862335638043;0.04228124618917055;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.17777777777777776
85;[38, 86];0.9797715933771536;0.020592708793028006;0.017052401395041498;0.9400664543100068;0.056241290963136306;0.02277086644187211;18.0;0.08888888888888889;0.9543531853677625;0.0452945392424596;0.060024466787657646;0.8534897229796912;0.15416855380450742;0.053589838486224534;17.0;0.15555555555555556;0.9547919321614957;0.04403975571762518;0.039323419937056125;0.8023964535051947;0.1763951939236088;0.2633433537186106;16.0;0.17777777777777776
86;[39, 87];0.9751609261577058;0.0248828979331118;0.016384338058370175;0.8457678298424841;0.15263918322465844;0.0880556302831988;18.0;0.08888888888888889;0.9543531853677625;0.0452945392424596;0.060024466787657646;0.8856014073204163;0.1303050980101671;0.07242724280527114;17.0;0.15555555555555556;0.9481496576370158;0.050137990163073236;0.04864387590334204;0.8023964535051947;0.1763951939236088;0.2633433537186106;16.0;0.17777777777777776
87;[40, 88];0.9751609261577058;0.0248828979331118;0.018948643086741632;0.9099617502405772;0.08386502482452259;0.03236852311888593;18.0;0.08888888888888889;0.9528326060192386;0.04662456880808218;0.05311834194725937;0.8856014073204163;0.1303050980101671;0.07242724280527114;17.0;0.17777777777777778;0.9543531853677625;0.045294539242459374;0.04259896687667238;0.7872226051203909;0.1483903729478407;0.11737088955301685;15.0;0.17777777777777776
88;[41, 89];0.9693349446953805;0.03010562108428392;0.024618885323221124;0.9099617502405772;0.08386502482452259;0.03236852311888593;18.0;0.11111111111111112;0.9617947045229482;0.038701445665928154;0.0425939410256152;0.8856014073204163;0.1303050980101671;0.07242724280527114;17.0;0.15555555555555556;0.9368642481731643;0.06377395447148142;0.06566322539014127;0.8223773393621179;0.13030216898601021;0.10184026103921935;14.0;0.17777777777777776
89;[42, 90];0.9739456119148281;0.025867191242842053;0.02282122395915678;0.8275159330075961;0.16685190854722026;0.15716991411008932;18.0;0.11111111111111112;0.9617947045229482;0.038701445665928154;0.0425939410256152;0.8729584129369051;0.13850724725576719;0.0953036261724458;17.0;0.15555555555555556;0.940635062404399;0.060216669799357955;0.06513162951316312;0.8223773393621179;0.13030216898601063;0.051807068540762544;14.0;0.15555555555555556
90;[43, 91];0.9739456119148281;0.025867191242842053;0.02282122395915678;0.9245387872348441;0.07224132745313476;0.03266882166011696;17.0;0.11111111111111112;0.9617947045229482;0.038701445665928154;0.0425939410256152;0.8729584129369051;0.13850724725576719;0.0953036261724458;17.0;0.15555555555555556;0.9337045712057217;0.06578400691996748;0.07446685486193691;0.7872226051203909;0.14839037294784105;0.0649330039117664;15.0;0.13333333333333333
91;[44, 92];0.9797715933771536;0.020592708793028006;0.020580176616093224;0.8924271028941191;0.09962471750424143;0.09999999999999998;17.0;0.08888888888888889;0.9650544907976746;0.0356766191186668;0.040478032242743836;0.8729584129369051;0.13850724725576719;0.0953036261724458;17.0;0.13333333333333333;0.9337045712057217;0.06578400691996748;0.07446685486193691;0.768975708906196;0.1921360548717021;0.1557929619470644;15.0;0.13333333333333333
92;[45, 93];0.9797715933771536;0.020592708793028006;0.017052401395041498;0.9245387872348441;0.0722413274531343;0.07074712601160552;17.0;0.08888888888888889;0.9598632065251995;0.03993764053063626;0.047483125529622805;0.8729584129369051;0.13850724725576805;0.12526960902465767;17.0;0.13333333333333333;0.9337045712057217;0.06578400691996748;0.07446685486193691;0.768975708906196;0.1921360548717021;0.1557929619470644;15.0;0.13333333333333333
93;[46, 94];0.9739456119148281;0.02586719124284253;0.015938076342735048;0.9245387872348441;0.0722413274531352;0.07074712601160552;17.0;0.1111111111111111;0.9674034466976317;0.03136987008946634;0.0366736193789535;0.8408467285961803;0.16157707177695182;0.1838239541920476;17.0;0.13333333333333333;0.9077503949608863;0.09330768866132182;0.1093149037900652;0.7948220404607839;0.18173766648056056;0.15791382051864214;14.0;0.13333333333333333
94;[47, 95];0.9739456119148281;0.02586719124284253;0.015938076342735048;0.9245387872348441;0.0722413274531352;0.07074712601160552;17.0;0.1111111111111111;0.9743339378963091;0.0253220337412451;0.02917494057561974;0.7855584217036248;0.19257706726819782;0.22190689107605135;18.0;0.1111111111111111;0.9237302292437402;0.07383224441002967;0.07935484575127161;0.9074994274322401;0.07887823108827346;0.052374468487633885;15.0;0.13333333333333333
95;[48, 96];0.9739456119148281;0.02586719124284253;0.015938076342735048;0.9337851376692216;0.0636876751085113;0.05846138926056747;16.0;0.13333333333333333;0.9743339378963091;0.0253220337412451;0.02917494057561974;0.7855584217036248;0.19257706726819782;0.22190689107605135;18.0;0.1111111111111111;0.928413177625963;0.07054187918705972;0.07504352365407899;0.9329350879565486;0.06252685030320915;0.05360626004351135;15.0;0.11111111111111112
96;[49, 97];0.9594748805437183;0.04046848312335988;0.02719363941650407;0.9475231583990615;0.051861150210481585;0.04510835708300518;15.0;0.15555555555555556;0.9720141139170796;0.027146441100113897;0.03056057133060362;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.13333333333333333;0.9274009341676912;0.07118807156301817;0.07950828879134067;0.9699870314266158;0.03000430827113378;0.03498124188397473;15.0;0.11111111111111112
97;[50, 98];0.9670151207161508;0.0319085765278722;0.018701009579801;0.9337851376692218;0.06368767510851177;0.06715316229550677;16.0;0.15555555555555556;0.9674034466976317;0.03136987008946634;0.031714696849320954;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.13333333333333333;0.9307330016051927;0.06891348706344524;0.07222014184024883;0.9699870314266159;0.030004308271133782;0.03498124188397473;15.0;0.11111111111111112
98;[51, 99];0.9739456119148281;0.02586719124284253;0.02020463217493967;0.9337851376692218;0.06368767510851177;0.06715316229550677;16.0;0.15555555555555556;0.9725947309701068;0.027026208530179487;0.0255686534777189;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.13333333333333333;0.9403643500324335;0.05757733339672294;0.05837606966800267;0.8509553984313722;0.1540793684887149;0.2168045730498419;15.0;0.08888888888888889
99;[52, 100];0.9816800150780008;0.017771975960086072;0.012737844262408402;0.9337851376692218;0.06368767510851177;0.06715316229550677;16.0;0.15555555555555556;0.9739456119148281;0.025867191242843004;0.02282122395915678;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.15555555555555556;0.9379213404490191;0.06017516101010693;0.06205031386531899;0.7262724560889596;0.2380623183932145;0.32503644694405864;16.0;0.08888888888888889
100;[53, 101];0.9816800150780008;0.017771975960086072;0.012737844262408402;0.9566504715755689;0.04270672693661957;0.038429397798721454;17.0;0.15555555555555556;0.9739456119148281;0.025867191242843004;0.02282122395915678;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.15555555555555556;0.9356015164697895;0.061840420557593985;0.06260376289628003;0.7262724560889596;0.2380623183932145;0.32503644694405864;16.0;0.08888888888888889
101;[54, 102];0.9816800150780008;0.017771975960086072;0.012737844262408402;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.15555555555555556;0.9702749069908772;0.028843071041206286;0.02659740082530047;0.8616051493362595;0.14525605675646372;0.12782459999672974;18.0;0.15555555555555556;0.9345892730115176;0.06250222293123166;0.0667754148577041;0.7262724560889596;0.2380623183932145;0.32503644694405864;16.0;0.08888888888888889
102;[55, 103];0.9895376038453584;0.010198490045190712;0.006903787707827773;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.15555555555555556;0.9727179165742913;0.02606635560133765;0.018899073406502123;0.8635571681993488;0.14324384275544563;0.12588217313656283;17.0;0.15555555555555556;0.9470066245569133;0.05158714337470887;0.055061133268089604;0.7262724560889596;0.2380623183932145;0.32503644694405864;16.0;0.08888888888888889
103;[56, 104];0.9912768107715608;0.008433436843507055;0.0066128219109097865;0.9099617502405772;0.08386502482452259;0.06024944670041271;18.0;0.15555555555555556;0.9702749069908772;0.028843071041206286;0.02659740082530047;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.15555555555555556;0.9425320076684669;0.05623066905511356;0.0597859798312777;0.7262724560889596;0.2380623183932145;0.32503644694405864;16.0;0.08888888888888889
